Tick,Throttle,Speed,Current,Voltage
69203,0,35081,4458,52106
69253,0,35899,4458,52106
69303,0,35899,4458,52106
69395,0,35899,4458,52231
69445,0,35899,4458,52231
69495,0,35899,4458,52231
69545,0,35899,4378,52231
69595,0,35899,4378,52231
69645,0,35899,4378,52231
69695,0,35899,4378,52231
69745,0,35899,4378,52194
69795,0,35899,4378,52194
69845,0,35899,4378,52194
69895,0,35899,4378,52194
69945,0,35899,4461,52194
69995,0,35899,4461,52194
70132,0,34309,4461,52180
70182,0,34309,4461,52180
70232,0,34309,4461,52180
70282,0,34309,4461,52180
70332,0,34309,4651,52180
70382,0,34309,4651,52180
70474,0,34309,4651,52180
70524,0,34309,4651,52181
70574,0,34309,4651,52181
70624,0,34309,4651,52181
70674,0,34309,4651,52181
70724,0,34309,4775,52181
70774,0,34309,4775,52181
70824,0,35081,4775,52181
70874,0,35081,4775,52181
70924,0,35081,4775,52219
70974,0,35081,4775,52219
71024,0,35899,4775,52219
71074,0,35899,4775,52219
71124,0,35899,4924,52219
71259,0,35899,4924,52219
71309,0,35899,4924,52219
71359,0,35899,4924,52167
71409,0,35899,4924,52167
71501,0,35899,4924,52167
71551,0,35899,5170,52167
71601,0,35899,5170,52167
71651,0,34309,5170,52167
71701,0,34309,5170,52167
71751,0,34309,5170,52139
71801,0,34309,5170,52139
71851,0,34309,5170,52139
71901,0,34309,5170,52139
71951,0,34309,5357,52139
72001,0,34309,5357,52139
72051,0,33552,5357,52139
72101,0,33552,5357,52139
72151,0,33552,5357,52114
72201,0,33552,5357,52114
72251,0,34309,5357,52114
72386,0,34309,5419,52114
72436,0,34309,5419,52114
72528,0,34309,5419,52114
72578,0,34309,5419,52119
72628,0,32842,5419,52119
72678,0,32842,5419,52119
72728,0,32842,5419,52119
72778,0,32842,5485,52119
72828,0,34309,5485,52119
72878,0,34309,5485,52119
72928,0,34309,5485,52119
72978,0,34309,5485,52068
73028,0,34309,5485,52068
73078,0,34309,5485,52068
73128,0,34309,5485,52068
73178,0,34309,5681,52068
73228,0,34309,5681,52068
73278,0,34309,5681,52068
73328,0,34309,5681,52068
73378,0,34309,5681,52063
73556,0,34309,5966,52063
73606,0,34309,5966,52063
73656,0,35081,5966,52063
73706,0,35081,5966,52063
73756,0,35081,5966,51998
73806,0,35081,5966,51998
73856,0,33552,5966,51998
73906,0,33552,5966,51998
73956,0,33552,6316,51998
74006,0,33552,6316,51998
74056,0,32842,6316,51998
74106,0,32842,6316,51998
74156,0,32842,6316,51950
74206,0,32842,6316,51950
74256,0,32842,6316,51950
74306,0,32842,6316,51950
74356,0,32842,6643,51950
74406,0,32842,6643,51950
74456,0,32842,6643,51950
74548,0,32842,6643,51950
74683,0,33552,6643,51924
74733,0,33552,6643,51924
74783,0,33552,6882,51924
74833,0,32842,6882,51924
74883,0,32842,6882,51924
74933,0,32842,6882,51924
74983,0,32842,6882,51853
75033,0,34309,6882,51853
75083,0,34309,6882,51853
75133,0,34309,6882,51853
75183,0,34309,6994,51853
75233,0,33552,6994,51853
